,序号,地区名,开始时间
806,807,邯郸,2020-01-28
807,808,三门峡,2020-01-28
808,809,信阳,2020-01-28
809,810,南阳,2020-01-28
810,811,周口,2020-01-28
811,812,商丘,2020-01-28
812,813,安阳,2020-01-28
813,814,平顶山,2020-01-28
814,815,开封,2020-01-28
815,816,新乡,2020-01-28
816,817,洛阳,2020-01-28
817,818,济源示范区,2020-02-03
818,819,漯河,2020-01-28
819,820,濮阳,2020-01-29
820,821,焦作,2020-01-28
821,822,许昌,2020-01-28
822,823,郑州,2020-01-28
823,824,驻马店,2020-02-15
824,825,鹤壁,2020-01-28
825,826,丽水,2020-01-28
826,827,台州,2020-01-28
827,828,嘉兴,2020-01-28
828,829,宁波,2020-01-28
829,830,杭州,2020-01-28
830,831,温州,2020-01-28
831,832,湖州,2020-01-28
832,833,绍兴,2020-01-28
833,834,舟山,2020-01-28
834,835,衢州,2020-01-28
835,836,金华,2020-01-28
836,837,万宁,2020-01-28
837,838,三亚,2020-01-28
838,839,东方,2020-01-28
839,840,临高县,2020-01-28
840,841,乐东,2020-01-31
841,842,儋州,2020-01-28
842,843,定安县,2020-01-31
843,844,文昌,2020-02-03
844,845,昌江县,2020-01-31
845,846,海口,2020-01-28
846,847,澄迈县,2020-01-28
847,848,琼中县,2020-01-28
848,849,琼海,2020-01-28
849,850,陵水县,2020-01-28
850,851,仙桃,2020-01-24
851,852,十堰,2020-01-24
852,853,咸宁,2020-01-26
853,854,天门,2020-01-25
854,855,孝感,2020-01-24
855,856,宜昌,2020-01-24
856,857,恩施州,2020-01-25
857,858,武汉,2020-01-21
858,859,潜江,2020-01-27
859,860,神农架,2020-01-28
860,861,荆州,2020-01-23
861,862,荆门,2020-01-23
862,863,襄阳,2020-01-26
863,864,鄂州,2020-01-26
864,865,随州,2020-01-25
865,866,黄冈,2020-01-21
866,867,黄石,2020-01-26
867,868,娄底,2020-01-28
868,869,岳阳,2020-01-28
869,870,常德,2020-01-28
870,871,张家界,2020-01-30
871,872,怀化,2020-01-28
872,873,株洲,2020-01-28
873,874,永州,2020-01-28
874,875,湘潭,2020-01-28
875,876,湘西自治州,2020-01-28
876,877,益阳,2020-01-28
877,878,衡阳,2020-01-28
878,879,邵阳,2020-01-28
879,880,郴州,2020-01-28
880,881,长沙,2020-01-28
881,882,Australian Capital Territory,2020-03-22
882,883,New South Wales,2020-03-22
883,884,Northern Territory,2020-03-22
884,885,Queensland,2020-03-22
885,886,South Australia,2020-03-22
886,887,Tasmania,2020-03-22
887,888,Victoria,2020-03-22
888,889,Western Australia,2020-03-22
889,890,Blekinge,2020-06-06
890,891,Dalarna,2020-06-06
891,892,Gavleborg,2020-06-06
892,893,Gotland,2020-06-06
893,894,Halland,2020-06-06
894,895,Jamtland Harjedalen,2020-06-06
895,896,Jonkoping,2020-06-06
896,897,Kalmar,2020-06-06
897,898,Kronoberg,2020-06-06
898,899,Norrbotten,2020-06-06
899,900,Orebro,2020-06-06
900,901,Ostergotland,2020-06-06
901,902,Skane,2020-06-06
902,903,Sormland,2020-06-06
903,904,Stockholm,2020-06-06
904,905,Uppsala,2020-06-06
905,906,Varmland,2020-06-06
906,907,Vasterbotten,2020-06-06
907,908,Vasternorrland,2020-06-06
908,909,Vastmanland,2020-06-06
909,910,Vastra Gotaland,2020-06-06
910,911,临夏,2020-01-28
911,912,兰州,2020-01-28
912,913,天水,2020-01-28
913,914,定西,2020-01-28
914,915,平凉,2020-01-29
915,916,庆阳,2020-02-03
916,917,张掖,2020-01-28
917,918,甘南州,2020-02-01
918,919,白银,2020-01-28
919,920,金昌,2020-01-28
920,921,陇南,2020-01-28
921,922,三明,2020-01-28
922,923,南平,2020-01-28
923,924,厦门,2020-01-28
924,925,宁德,2020-01-28
925,926,泉州,2020-01-28
926,927,漳州,2020-01-28
927,928,福州,2020-01-28
928,929,莆田,2020-01-28
929,930,龙岩,2020-01-29
930,931,Amazonas,2020-05-21
931,932,Ancash,2020-05-29
932,933,Apurimac,2020-05-29
933,934,Arequipa,2020-05-29
934,935,Ayacucho,2020-05-29
935,936,Cajamarca,2020-05-29
936,937,Callao,2020-05-29
937,938,Cusco,2020-05-29
938,939,Huancavelica,2020-05-29
939,940,Huanuco,2020-05-29
940,941,Ica,2020-05-29
941,942,Junin,2020-05-29
942,943,La Libertad,2020-05-29
943,944,Lambayeque,2020-05-29
944,945,Lima,2020-05-29
945,946,Loreto,2020-05-29
946,947,Madre de Dios,2020-05-29
947,948,Moquegua,2020-05-29
948,949,Pasco,2020-05-29
949,950,Piura,2020-05-29
950,951,Puno,2020-05-29
951,952,San Martin,2020-05-29
952,953,Tacna,2020-05-29
953,954,Tumbes,2020-05-29
954,955,Ucayali,2020-05-29
955,956,Alabama,2020-04-12
956,957,Alaska,2020-04-12
957,958,Arizona,2020-04-12
958,959,Arkansas,2020-04-12
959,960,California,2020-04-12
960,961,Colorado,2020-04-12
961,962,Connecticut,2020-04-12
962,963,Delaware,2020-04-12
963,964,District of Columbia,2020-04-12
964,965,Florida,2020-04-12
965,966,Georgia,2020-04-12
966,967,Guam,2020-04-12
967,968,Hawaii,2020-04-12
968,969,Idaho,2020-04-12
969,970,Illinois,2020-04-12
970,971,Indiana,2020-04-12
971,972,Iowa,2020-04-12
972,973,Kansas,2020-04-12
973,974,Kentucky,2020-04-12
974,975,Louisiana,2020-04-12
975,976,Maine,2020-04-12
976,977,Maryland,2020-04-12
977,978,Massachusetts,2020-04-12
978,979,Michigan,2020-04-12
979,980,Minnesota,2020-04-12
980,981,Mississippi,2020-04-12
981,982,Missouri,2020-04-12
982,983,Montana,2020-04-12
983,984,Nebraska,2020-04-12
984,985,Nevada,2020-04-12
985,986,New Hampshire,2020-04-12
986,987,New Jersey,2020-04-12
987,988,New Mexico,2020-04-12
988,989,New York,2020-04-12
989,990,North Carolina,2020-04-12
990,991,North Dakota,2020-04-12
991,992,Northern Mariana Islands,2020-04-12
992,993,Ohio,2020-04-12
993,994,Oklahoma,2020-04-12
994,995,Oregon,2020-04-12
995,996,Pennsylvania,2020-04-12
996,997,Puerto Rico,2020-04-12
997,998,Rhode Island,2020-04-12
998,999,South Carolina,2020-04-12
999,1000,South Dakota,2020-04-12
1000,1001,Tennessee,2020-04-12
1001,1002,Texas,2020-04-12
1002,1003,Utah,2020-04-12
1003,1004,Vermont,2020-04-12
1004,1005,Virgin Islands,
1005,1005,Virginia,2020-04-12
1006,1006,Washington,2020-04-12
1007,1007,West Virginia,2020-04-12
1008,1008,Wisconsin,2020-04-12
1009,1009,Wyoming,2020-04-12
1010,1010,Anguilla,2020-03-28
1011,1011,Bermuda,2020-03-22
1012,1012,British Virgin Islands,2020-03-28
1013,1013,Cayman Islands,2020-03-22
1014,1014,Channel Islands,2020-03-22
1015,1015,England,2020-06-12
1016,1016,Falkland Islands (Malvinas),2020-04-07
1017,1017,Gibraltar,2020-03-22
1018,1018,Isle of Man,2020-03-22
1019,1019,Montserrat,2020-03-22
1020,1020,Northern Ireland,2020-06-12
1021,1021,"Saint Helena, Ascension and Tristan da Cunha",2020-09-08
1022,1022,Scotland,2020-06-12
1023,1023,Turks and Caicos Islands,2020-03-28
1024,1024,Wales,2020-06-12
1025,1025,Aruba,2020-03-22
1026,1026,"Bonaire, Sint Eustatius and Saba",2020-04-02
1027,1027,Curacao,2020-03-22
1028,1028,Drenthe,2020-07-18
1029,1029,Flevoland,2020-07-18
1030,1030,Friesland,2020-07-18
1031,1031,Gelderland,2020-07-18
1032,1032,Groningen,2020-07-18
1033,1033,Limburg,2020-07-18
1034,1034,Noord-Brabant,2020-07-18
1035,1035,Noord-Holland,2020-07-18
1036,1036,Overijssel,2020-07-18
1037,1037,Sint Maarten,2020-03-22
1038,1038,Utrecht,2020-07-18
1039,1039,Zeeland,2020-07-18
1040,1040,Zuid-Holland,2020-07-18
1041,1041,Andalusia,2020-05-15
1042,1042,Aragon,2020-05-15
1043,1043,Asturias,2020-05-15
1044,1044,Baleares,2020-05-15
1045,1045,C. Valenciana,2020-05-15
1046,1046,Canarias,2020-05-15
1047,1047,Cantabria,2020-05-15
1048,1048,Castilla - La Mancha,2020-05-15
1049,1049,Castilla y Leon,2020-05-15
1050,1050,Catalonia,2020-05-15
1051,1051,Ceuta,2020-05-15
1052,1052,Extremadura,2020-05-15
1053,1053,Galicia,2020-05-15
1054,1054,La Rioja,2020-05-15
1055,1055,Madrid,2020-05-15
1056,1056,Melilla,2020-05-15
1057,1057,Murcia,2020-05-15
1058,1058,Navarra,2020-05-15
1059,1059,Pais Vasco,2020-05-15
1060,1060,拉萨,2020-01-30
1061,1061,六盘水,2020-01-28
1062,1062,安顺,2020-02-02
1063,1063,毕节,2020-01-30
1064,1064,贵阳,2020-01-28
1065,1065,遵义,2020-01-30
1066,1066,铜仁,2020-01-28
1067,1067,黔东南州,2020-01-30
1068,1068,黔南州,2020-01-28
1069,1069,黔西南州,2020-01-28
1070,1070,丹东,2020-01-28
1071,1071,大连,2020-01-29
1072,1072,朝阳市,2020-01-29
1073,1073,本溪,2020-01-28
1074,1074,沈阳,2020-01-28
1075,1075,盘锦,2020-01-28
1076,1076,营口,2020-01-28
1077,1077,葫芦岛,2020-01-28
1078,1078,辽阳,2020-01-28
1079,1079,铁岭,2020-01-28
1080,1080,锦州,2020-01-28
1081,1081,阜新,2020-01-31
1082,1082,鞍山,2020-01-31
1083,1083,万州区,2020-01-28
1084,1084,万盛经开区,2020-02-06
1085,1085,两江新区,2020-01-28
1086,1086,丰都县,2020-01-28
1087,1087,九龙坡区,2020-01-28
1088,1088,云阳县,2020-01-28
1089,1089,南岸区,2020-01-28
1090,1090,合川区,2020-01-28
1091,1091,垫江县,2020-01-28
1092,1092,城口县,2020-01-28
1093,1093,大渡口区,2020-01-28
1094,1094,大足区,2020-01-28
1095,1095,奉节县,2020-01-28
1096,1096,巫山县,2020-01-28
1097,1097,巫溪县,2020-01-28
1098,1098,巴南区,2020-01-28
1099,1099,开州区,2020-01-28
1100,1100,彭水县,2020-02-04
1101,1101,忠县,2020-01-28
1102,1102,梁平区,2020-01-28
1103,1103,武隆区,2020-01-30
1104,1104,永川区,2020-01-28
1105,1105,江北区,2020-01-28
1106,1106,江津区,2020-01-28
1107,1107,沙坪坝区,2020-02-01
1108,1108,涪陵区,2020-01-28
1109,1109,渝中区,2020-01-29
1110,1110,渝北区,2020-01-28
1111,1111,潼南区,2020-01-28
1112,1112,璧山区,2020-01-28
1113,1113,石柱县,2020-01-28
1114,1114,秀山县,2020-01-28
1115,1115,綦江区,2020-01-28
1116,1116,荣昌区,2020-01-31
1117,1117,酉阳县,2020-02-05
1118,1118,铜梁区,2020-01-28
1119,1119,长寿区,2020-01-28
1120,1120,高新区,2020-02-03
1121,1121,黔江区,2020-01-28
1122,1122,咸阳,2020-01-28
1123,1123,商洛,2020-01-28
1124,1124,安康,2020-01-28
1125,1125,宝鸡,2020-01-28
1126,1126,延安,2020-01-28
1127,1127,杨凌,2020-02-07
1128,1128,榆林,2020-01-30
1129,1129,汉中,2020-01-28
1130,1130,渭南,2020-01-29
1131,1131,西安,2020-01-28
1132,1132,铜川,2020-01-28
1133,1133,韩城,2020-01-30
1134,1134,海北州,2020-02-03
1135,1135,西宁,2020-01-28
1136,1136,七台河,2020-01-28
1137,1137,伊春,2020-02-15
1138,1138,佳木斯,2020-01-28
1139,1139,双鸭山,2020-01-28
1140,1140,哈尔滨,2020-01-29
1141,1141,大兴安岭,2020-01-29
1142,1142,大庆,2020-01-28
1143,1143,牡丹江,2020-01-28
1144,1144,绥化,2020-01-29
1145,1145,鸡西,2020-01-29
1146,1146,鹤岗,2020-01-30
1147,1147,黑河,2020-02-01
1148,1148,齐齐哈尔,2020-01-28
